Hex Data,Direction,Length,Entropy,Label
32010000ffff00080000f000000100010780,1,18,2.46132014,9
32030000ffff000800000000f0000001000100f0,1,20,2.119240705,10
320100000000000e00000401120a10020040000184000000,1,24,2.594360938,9
3203000000000002004400000401ff04020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,82,0.798317946,10
320100000001000e00000401120a10020010000083000000,1,24,2.511027604,9
3203000000010002001400000401ff0400807710000100000103000000033f8ccccd,1,34,3.085761182,10
320100000002000e00080501120a100200040000830000000004002077100002,1,32,2.998191987,9
3203000000020002000100000501ff,1,15,2.330124965,10
320100000003000e00080501120a100200040000830000200004002000000105,1,32,2.998191987,9
3203000000030002000100000501ff,1,15,2.330124965,10
320100000004000e00080501120a100200040000830000400004002000000006,1,32,2.957554799,9
3203000000040002000100000501ff,1,15,2.463458299,10
320100000005000e00080501120a1002000400008300006000040020400ccccd,1,32,3.468139062,9
3203000000050002000100000501ff,1,15,2.330124965,10
320100000006000e00000401120a10020010000083000000,1,24,2.625814584,9
3203000000060002001400000401ff040080771000020000010500000006400ccccd,1,34,3.284434344,10
320100000007000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000070002000500000401ff04000877,1,19,2.879506461,10
320100000008000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000080002000500000401ff04000876,1,19,2.774243303,10
320100000009000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000090002000500000401ff04000876,1,19,2.879506461,10
32010000000a000e00000401120a10020001000083000000,1,24,2.511027604,9
32030000000a0002000500000401ff04000876,1,19,2.879506461,10
32010000000b000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000000b0002000500000401ff04000876,1,19,2.879506461,10
32010000000c000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000000c0002000500000401ff04000876,1,19,2.879506461,10
32010000000d000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000000d0002000500000401ff04000876,1,19,2.879506461,10
32010000000e000e00000401120a10020001000083000000,1,24,2.511027604,9
32030000000e0002000500000401ff04000876,1,19,2.879506461,10
32010000000f000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000000f0002000500000401ff04000876,1,19,2.879506461,10
320100000010000e00000401120a10020001000083000000,1,24,2.511027604,9
3203000000100002000500000401ff04000876,1,19,2.879506461,10
320100000011000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000110002000500000401ff04000876,1,19,2.879506461,10
